PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,VISIT_NO,DATE_COL,PSTL_CODE,SAMPLE_TYPE,DISAPPEARS,REAPPEARS,CLEAR_TO_BOTTOM,NARS_COMMENT,NARS_FLAG,INDEX_SITE_DEPTH
8/13/2024,2020459,NLA_RI-10067,NLA22_RI-10016,1,6/16/2022,RI,SECH,0.9,0.8,,,,2.1
8/13/2024,2020462,NLA_SD-10015,NES22-10150,1,6/15/2022,SD,SECH,2.6,2.5,,,,8.1
8/13/2024,2020464,NLA_AR-10052,NLA22_AR-10021,1,6/14/2022,AR,SECH,0.35,0.35,,,,2.4
8/13/2024,2020465,NLA_ND-10149,NLA22_ND-10008,1,6/16/2022,ND,SECH,1.3,1.2,,,,2.3
8/13/2024,2020466,NLA_IA-10100,NLA22_IA-10017,1,6/16/2022,IA,SECH,0.8,0.75,,,,2.4
8/13/2024,2020468,NLA_NM-10094,NLA22_NM-10015,2,6/16/2022,NM,SECH,3.1,3,,,,16.2
8/13/2024,2020469,NLA_GA-10051,NLA22_GA-10003,1,6/16/2022,GA,SECH,5.25,4.88,,,,7.01
8/13/2024,2020471,NLA_MT-10300,NLA22_MT-10122,1,6/15/2022,MT,SECH,0.12,0.12,,,,4.4
8/13/2024,2020472,NLA_LA-10498,NLA22_LA-10362,1,6/16/2022,LA,SECH,1.28,1.24,,,,5.5
8/13/2024,2020473,NLA_TX-10216,NLA22_TX-10002,1,6/16/2022,TX,SECH,0.35,0.3,,,,7.8
8/13/2024,2020474,NLA_IN-10286,NLA22_IN-10140,1,6/16/2022,IN,SECH,2,1.9,,,,6.6
8/13/2024,2020475,NLA_SD-10061,NES22-10158,1,6/17/2022,SD,SECH,0.85,0.75,,,,4.4
8/13/2024,2020476,NLA_SD-10083,NES22-10154,1,6/17/2022,SD,SECH,1.8,1.7,,,,5.5
8/13/2024,2020477,NLA_TN-10002,NLA22_TN-10002,1,6/16/2022,TN,SECH,2.7,2.6,,,,20.5
8/13/2024,2020478,NLA_CA-10009,NES22-10188,1,6/15/2022,CA,SECH,4.6,4.5,,,,36
8/13/2024,2020479,NLA_WA-10022,NLA22_WA-10007,1,8/23/2022,WA,SECH,3.3,3,,,,20.1
8/13/2024,2020480,NLA_WA-10159,NLA22_WA-10022,1,7/28/2022,WA,SECH,4.1,3.7,,,,6.6
8/13/2024,2020481,NLA_NM-10021,NLA22_NM-10042,1,6/17/2022,NM,SECH,1.7,1.6,,,,38
8/13/2024,2020482,NLA_MT-10179,NLA22_MT-10003,1,6/16/2022,MT,SECH,1.58,1.51,,,,4.5
8/13/2024,2020483,NLA_KY-10045,NLA22_KY-10002,2,6/16/2022,KY,SECH,1.4,1.2,,,,4.2
8/13/2024,2020484,NLA_SD-10006,NES22-10157,1,6/19/2022,SD,SECH,0.7,0.6,,,,6.5
8/13/2024,2020485,NLA_WI-10243,NLA22_WI-10118,1,6/16/2022,WI,SECH,0.15,0.1,,,,1.6
8/13/2024,2020486,NLA_NH-10034,NLA22_NH-10012,1,6/20/2022,NH,SECH,2.25,2.2,,,,4.5
8/13/2024,2020487,NLA_IN-10174,NLA22_IN-10037,1,6/20/2022,IN,SECH,0.7,0.65,,,,2.4
8/13/2024,2020488,NLA_ND-10144,NLA22_ND-10002,2,6/20/2022,ND,SECH,0.7,0.6,,,,3.3
8/13/2024,2020489,NLA_CA-10174,NLA22_CA-10017,1,6/20/2022,CA,SECH,1.8,1.6,,,,3.7
8/13/2024,2020490,NLA_UT-10452,NLA22_UT-10118,1,6/20/2022,UT,SECH,0.35,0.3,,,,1.3
8/13/2024,2020492,NLA_NC-10077,NLA22_NC-10007,1,6/20/2022,NC,SECH,1,0.9,,,,3
8/13/2024,2020493,NLA_NM-10024,NLA22_NM-10013,2,6/14/2022,NM,SECH,0.7,0.6,,,,2.3
8/13/2024,2020494,NLA_CO-10117,NLA22_CO-10019,1,6/20/2022,CO,SECH,1,1,,,,3.8
8/13/2024,2020495,NLA_MT-10323,NLA22_MT-10145,1,6/19/2022,MT,SECH,0.1,0.05,,,,1.2
8/13/2024,2020496,NLA_MT-10229,NLA22_MT-10076,1,6/19/2022,MT,SECH,0.4,0.37,,,,3
8/13/2024,2020497,NLA_MT-10198,NLA22_MT-10022,1,6/19/2022,MT,SECH,0.05,0.05,,,,2.3
8/13/2024,2020499,NLA_WA-10155,NLA22_WA-10018,1,6/21/2022,WA,SECH,2.1,1.7,,,,2.9
8/13/2024,2020500,NLA_WA-10127,NLA22_WA-10030,1,6/23/2022,WA,SECH,1.4,1.3,,,,6.9
8/13/2024,2020501,NLA_SD-10187,NLA22_SD-10002,1,6/8/2022,SD,SECH,2.7,2.7,,,,3.1
8/13/2024,2020502,NLA_SD-10263,NLA22_SD-10027,1,6/14/2022,SD,SECH,0.3,0.3,,,,1.3
8/13/2024,2020503,NLA_SD-10252,NLA22_SD-10088,1,6/15/2022,SD,SECH,0.5,0.5,,,,1.95
8/13/2024,2020504,NLA_NY-10036,NLA22_NY-10002,1,6/21/2022,NY,SECH,1.6,1.5,,,,2.5
8/13/2024,2020505,NLA_TN-10061,NLA22_TN-10019,1,6/21/2022,TN,SECH,0.34,0.33,,,,5.7
8/13/2024,2020506,NLA_MI-10267,NLA22_MI-10121,1,6/21/2022,MI,SECH,2.3,2.3,,,,17
8/13/2024,2020507,NLA_CT-10050,NLA22_CT-10014,1,6/21/2022,CT,SECH,2.65,2.55,,,,3.6
